,name,type,place,note,fill_lim,regime,lat,lon
0,ФКУ  «СИЗО № 2 ФСИН» ( Лефортовская тюрьма  или «Лефортово»),Следственный изолятор,Москва,"Основана в 1881 году как военная тюрьма для содержания нижних чинов, осуждённых на небольшие сроки. После революции несколько раз меняла название и статус. С 1936 года — тюрьма  ГУГБ НКВД  для подследственных, с 1954 года — СИЗО  КГБ СССР , с 1992 года — СИЗО  МБ РФ — ФСК — ФСБ . С 2005 году под управлением  МЮ РФ .
",,,55.7558,37.6173
1,ФКУ «СИЗО № 3 ФСИН»,Следственный изолятор,Санкт-Петербург,"
",,,59.94019754999999,30.0906897
2,ФКУ «СИЗО № 4 ФСИН»,Следственный изолятор,Ростов-на-Дону,"
",,,47.261008499999996,39.627999949999996
3,ФКУ «СИЗО № 5 ФСИН»,Следственный изолятор,Краснодар,"
",,,45.053548,39.01605595
4,ФКУ «СИЗО № 6 ФСИН»,Следственный изолятор,Владикавказ,"
",,,43.0292575,44.66171295
5,ФКУ «СИЗО № 7 ФСИН»,Следственный изолятор,Челябинск,"
",,,55.152009,61.408570499999996
6,ФКУ  «СИЗО № 1 УФСИН России по Алтайскому краю»,Следственный изолятор,Барнаул,"Лимит наполнения: 1028 человек. Образован в 1925 году как тюрьма № 1 на месте закрытого Богородице-Казанского общежительного женского монастыря. С 1955 года — СИЗО. [6] 
",1028.0,,53.33323995,83.66723560000001
7,ФКУ «СИЗО № 2 УФСИН России по Алтайскому краю»,Следственный изолятор,Бийск,"Лимит наполнения: 458 человек. Образован в 1871 году как Бийская тюрьма. [7] 
",458.0,,52.505114,85.18918055
8,ФКУ «СИЗО № 3 УФСИН России по Алтайскому краю»,Следственный изолятор,Барнаул,"Лимит наполнения: 108 человек. Образован в 1992 году как СИЗО-3 для содержания несовершеннолетних. [8] 
",108.0,,53.33323995,83.66723560000001
9,ФКУ «СИЗО № 4 УФСИН России по Алтайскому краю»,Следственный изолятор,Рубцовск,"Лимит наполнения: 182 человека. Образован в середине 1990-х годов как ПФРСИ при учреждении УБ-14/9. [9] 
",182.0,,51.52048195,81.23603105
10,ФКУ «ЛИУ № 1 УФСИН России по Алтайскому краю»,Лечебно-исправительное учреждение,Барнаул,"Лимит наполнения: 1245 человек. Образовано в 1957 году как ИТК-1 общего режима. В начале 2000-х годов перепрофилирована в ЛИУ-1 для осужденных, больных наркоманией. [10] 
",1245.0,,53.33323995,83.66723560000001
11,ФКУ «КП № 2 УФСИН России по Алтайскому краю»,Колония-поселение,Бийск,"Лимит наполнения: 1502 человека. Образована в 2000 году на базе войсковой части  Барнаульского ВВАУЛ . С 2017 года располагается в Бийске. [11] 
",1502.0,,52.505114,85.18918055
12,ФКУ «ИК № 3 УФСИН России по Алтайскому краю»,Исправительная колония,Барнаул,"Лимит наполнения: 1883 человек. Вид режима: строгий. Образована после революции на месте подсобного хозяйства ликвидированного Барнаульского монастыря. [12] 
",1883.0,строгий,53.33323995,83.66723560000001
13,ФКУ «ИК № 4 УФСИН России по Алтайскому краю»,Исправительная колония,Рубцовск,"Лимит наполнения: 1273 человек. Вид режима: общий. Образована в 1991 году в результате разделения ИТК-5. [13] 
",1273.0,общий,51.52048195,81.23603105
14,ФКУ «ИК № 5 УФСИН России по Алтайскому краю»,Исправительная колония,Рубцовск,"Лимит наполнения: 1955 человек. Вид режима: общий. Образована в 1957 году как ИТК-5 при Рубцовском заводе тракторных запасных частей. [14] 
",1955.0,общий,51.52048195,81.23603105
15,ФКУ «ИК № 6 УФСИН России по Алтайскому краю»,Исправительная колония,"Шипуновский район , с.  Шипуново","Лимит наполнения: 1065 человек. Вид режима: общий. В 1979 году в село Шипуново был переведён из с. Раздольное Локтевского района ЛТП-1. В 1993 году ЛТП-1 реорганизован в ИТК-поселение № 1. В 1998 году КП-1 реорганизована в ИК-6. [15] [16] 
",1065.0,общий,52.227143,82.26259850000001
16,ФКУ «КП № 7 УФСИН России по Алтайскому краю»,Колония-поселение,"Шипуновский район , с.  Шипуново","Лимит наполнения: 131 человек. Образована в 1998 году на территории Шипуновского сельского строительного комбината как КП-7. [17] 
",131.0,,52.227143,82.26259850000001
17,ФКУ «ЛИУ № 8 УФСИН России по Алтайскому краю»,Лечебно-исправительное учреждение,Новоалтайск,"Лимит наполнения: 1232 человека. Образовано в 1960-х годах как ИТК общего режима. С 1987 года — ИТК строгого режима. В 1988 году перепрофилирована в лечебно-исправительное учреждение. [18] 
",1232.0,,53.4223335,83.94668349999999
18,ФКУ «ИК № 9 УФСИН России по Алтайскому краю»,Исправительная колония,Рубцовск,"Лимит наполнения: 1376 человек. Вид режима: особый. Образована в 1966 году как ИТК-9. С 2003 года — колония особого режима. [19] 
",1376.0,особый,51.52048195,81.23603105
19,ФКУ «ИК № 10 УФСИН России по Алтайскому краю»,Исправительная колония,Рубцовск,"Лимит наполнения: 1915 человек. Вид режима: строгий. Образована в 2001 году на базе бывшего ЛТП-2 как колония строгого режима. [20] 
",1915.0,строгий,51.52048195,81.23603105
20,ФКУ «ИК № 11 УФСИН России по Алтайскому краю»,Исправительная колония,Новоалтайск,"Лимит наполнения: 266 человек, включая ПФРСИ на 11 мест и участок КП на 25 мест. Вид режима: общий. Образована в 2011 году на базе Новоалтайской ВК. [21] [22] 
",266.0,общий,53.4223335,83.94668349999999
21,ФКЛПУ «КТБ № 12 УФСИН России по Алтайскому краю»,Лечебно-профилактическое учреждение,Барнаул,"Федеральное казённое лечебно-профилактическое учреждение «Краевая туберкулёзная больница». Лимит наполнения: 453 человек. Образована в 1964 году на базе бывшей специальной школы УВД. В 1982 году перепрофилирована в краевую туберкулёзную больницу. [23] 
",453.0,,53.33323995,83.66723560000001
22,ФКУ «СИЗО № 1 УФСИН России по Амурской области»,Следственный изолятор,Благовещенск,"
",,,50.2961695,127.53340250000001
23,ФКУ «ИК № 2 УФСИН России по Амурской области»,Исправительная колония,"Белогорский район , с.  Возжаевка","
",,,50.739106449999994,128.72793499999997
24,ФКУ «ИК № 3 УФСИН России по Амурской области»,Исправительная колония,"Ивановский район , с.  Среднебелая","
",,,50.65877235,128.001438
